	"deployment"	"retrieval"	"month_dep"	"month_ret"	"months"	"arms_code"	"site_code"	"id_site"	"protection"	"protection_level"	"depth"	"lat"	"lon"	"paper"	"ECOREGION"	"PROVINCE"	"REALM"	"Lat_Zone"	"chl_mean"	"k490_mean"	"npp_mean"	"npp_nsi"	"npp_total"	"par_mean"	"sss_mean"	"sss_range"	"sst_mean"	"sst_range"
"DR10_A"	2014	2016	"Aug"	"Jul"	23	"DR10.A"	"DR10"	"site_13_2014_2016"	"protected"	"VI"	10	27.844433	35.312891	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.423525631427765	0.0556524768471718	678.975463867188	0.285441339015961	29128.3984375	47.352165222168	39.3116912841797	0.988249540328979	26.7905540466309	8.84494686126709
"DR10_B"	2014	2016	"Aug"	"Jul"	23	"DR10.B"	"DR10"	"site_13_2014_2016"	"protected"	"VI"	10	27.844433	35.312891	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.423525631427765	0.0556524768471718	678.975463867188	0.285441339015961	29128.3984375	47.352165222168	39.3116912841797	0.988249540328979	26.7905540466309	8.84494686126709
"DR10_C"	2014	2016	"Aug"	"Jul"	23	"DR10.C"	"DR10"	"site_13_2014_2016"	"protected"	"VI"	10	27.844433	35.312891	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.423525631427765	0.0556524768471718	678.975463867188	0.285441339015961	29128.3984375	47.352165222168	39.3116912841797	0.988249540328979	26.7905540466309	8.84494686126709
"DR12_A"	2014	2016	"Aug"	"Jul"	23	"DR12.A"	"DR12"	"site_40_2014_2016"	"unprotected"	"absent"	10	27.670733	35.440029	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.278183817863464	0.0429305545985699	526.845947265625	0.285718828439713	23359.033203125	47.781379699707	39.2373199462891	1.06344163417816	26.864709854126	8.43523406982422
"DR12_B"	2014	2016	"Aug"	"Jul"	23	"DR12.B"	"DR12"	"site_40_2014_2016"	"unprotected"	"absent"	10	27.670733	35.440029	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.278183817863464	0.0429305545985699	526.845947265625	0.285718828439713	23359.033203125	47.781379699707	39.2373199462891	1.06344163417816	26.864709854126	8.43523406982422
"DR12_C"	2014	2016	"Aug"	"Jul"	23	"DR12.C"	"DR12"	"site_40_2014_2016"	"unprotected"	"absent"	10	27.670733	35.440029	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.278183817863464	0.0429305545985699	526.845947265625	0.285718828439713	23359.033203125	47.781379699707	39.2373199462891	1.06344163417816	26.864709854126	8.43523406982422
"DR6_A"	2014	2016	"Aug"	"Jul"	23	"DR6.A"	"DR6"	"site_38_2014_2016"	"unprotected"	"absent"	10	27.073328	35.787456	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.244050815701485	0.0404036901891232	479.877532958984	0.324765712022781	20693.3359375	47.7848243713379	39.0815620422363	1.19894397258759	26.8580665588379	8.01157283782959
"DR6_B"	2014	2016	"Aug"	"Jul"	23	"DR6.B"	"DR6"	"site_38_2014_2016"	"unprotected"	"absent"	10	27.073328	35.787456	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.244050815701485	0.0404036901891232	479.877532958984	0.324765712022781	20693.3359375	47.7848243713379	39.0815620422363	1.19894397258759	26.8580665588379	8.01157283782959
"DR6_C"	2014	2016	"Aug"	"Jul"	23	"DR6.C"	"DR6"	"site_38_2014_2016"	"unprotected"	"absent"	10	27.073328	35.787456	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.244050815701485	0.0404036901891232	479.877532958984	0.324765712022781	20693.3359375	47.7848243713379	39.0815620422363	1.19894397258759	26.8580665588379	8.01157283782959
"DR7_A"	2014	2016	"Aug"	"Jul"	23	"DR7.A"	"DR7"	"site_39_2014_2016"	"unprotected"	"absent"	10	27.274417	35.626496	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.188210308551788	0.0349282249808311	413.676971435547	0.316328972578049	18830.708984375	48.0224533081055	39.1084022521973	1.15988337993622	26.8515701293945	8.05622673034668
"DR7_B"	2014	2016	"Aug"	"Jul"	23	"DR7.B"	"DR7"	"site_39_2014_2016"	"unprotected"	"absent"	10	27.274417	35.626496	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.188210308551788	0.0349282249808311	413.676971435547	0.316328972578049	18830.708984375	48.0224533081055	39.1084022521973	1.15988337993622	26.8515701293945	8.05622673034668
"DR7_C"	2014	2016	"Aug"	"Jul"	23	"DR7.C"	"DR7"	"site_39_2014_2016"	"unprotected"	"absent"	10	27.274417	35.626496	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.188210308551788	0.0349282249808311	413.676971435547	0.316328972578049	18830.708984375	48.0224533081055	39.1084022521973	1.15988337993622	26.8515701293945	8.05622673034668
"DR8_A"	2014	2016	"Aug"	"Jul"	23	"DR8.A"	"DR8"	"site_15_2014_2016"	"protected"	"VI"	10	27.943078	35.232253	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.562708258628845	0.0657505616545677	797.209899902344	0.312841862440109	32827.05078125	47.0254898071289	39.3282852172852	0.965223133563995	26.7364349365234	9.11024188995361
"DR8_B"	2014	2016	"Aug"	"Jul"	23	"DR8.B"	"DR8"	"site_15_2014_2016"	"protected"	"VI"	10	27.943078	35.232253	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.562708258628845	0.0657505616545677	797.209899902344	0.312841862440109	32827.05078125	47.0254898071289	39.3282852172852	0.965223133563995	26.7364349365234	9.11024188995361
"DR8_C"	2014	2016	"Aug"	"Jul"	23	"DR8.C"	"DR8"	"site_15_2014_2016"	"protected"	"VI"	10	27.943078	35.232253	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.562708258628845	0.0657505616545677	797.209899902344	0.312841862440109	32827.05078125	47.0254898071289	39.3282852172852	0.965223133563995	26.7364349365234	9.11024188995361
"DR9_A"	2014	2016	"Aug"	"Jul"	23	"DR9.A"	"DR9"	"site_14_2014_2016"	"protected"	"VI"	10	27.921	35.269	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.571204841136932	0.0664752349257469	810.395202636719	0.315341949462891	33034.82421875	46.992847442627	39.3338050842285	0.967290282249451	26.756908416748	9.06354331970215
"DR9_B"	2014	2016	"Aug"	"Jul"	23	"DR9.B"	"DR9"	"site_14_2014_2016"	"protected"	"VI"	10	27.921	35.269	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.571204841136932	0.0664752349257469	810.395202636719	0.315341949462891	33034.82421875	46.992847442627	39.3338050842285	0.967290282249451	26.756908416748	9.06354331970215
"DR9_C"	2014	2016	"Aug"	"Jul"	23	"DR9.C"	"DR9"	"site_14_2014_2016"	"protected"	"VI"	10	27.921	35.269	"Carvalho_etal_2019"	"Northern and Central Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	0.571204841136932	0.0664752349257469	810.395202636719	0.315341949462891	33034.82421875	46.992847442627	39.3338050842285	0.967290282249451	26.756908416748	9.06354331970215
"DS_A1"	2014	2015	"Jun"	"Jul"	13	"DS.A1"	"DS"	"site_22_2014_2015"	"unprotected"	"absent"	9	43.55	13.63	"Pearman et al. 2020"	"Adriatic Sea"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	2.72077822685242	0.230268359184265	2248.189453125	0.467926770448685	100199.046875	33.1571731567383	35.3909950256348	3.52050638198853	17.8359470367432	19.4060077667236
"DS_A2"	2014	2015	"Jun"	"Jul"	13	"DS.A2"	"DS"	"site_22_2014_2015"	"unprotected"	"absent"	9	43.55	13.63	"Pearman et al. 2020"	"Adriatic Sea"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	2.72077822685242	0.230268359184265	2248.189453125	0.467926770448685	100199.046875	33.1571731567383	35.3909950256348	3.52050638198853	17.8359470367432	19.4060077667236
"DS_A3"	2014	2015	"Jun"	"Jul"	13	"DS.A3"	"DS"	"site_22_2014_2015"	"unprotected"	"absent"	9	43.55	13.63	"Pearman et al. 2020"	"Adriatic Sea"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	2.72077822685242	0.230268359184265	2248.189453125	0.467926770448685	100199.046875	33.1571731567383	35.3909950256348	3.52050638198853	17.8359470367432	19.4060077667236
"ELV_A1"	2013	2014	"Jun"	"Dec"	18	"ELV.A1"	"ELV"	"site_5_2013_2014"	"protected"	"nd"	17	43.33	5.24	"Pearman et al. 2020"	"Western Mediterranean"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	2.02032566070557	0.223616227507591	1869.21130371094	0.438416123390198	82021.796875	34.6114311218262	37.5047836303711	2.62112140655518	17.4785671234131	12.7910022735596
"ELV_A2"	2013	2014	"Jun"	"Dec"	18	"ELV.A2"	"ELV"	"site_5_2013_2014"	"protected"	"nd"	17	43.33	5.24	"Pearman et al. 2020"	"Western Mediterranean"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	2.02032566070557	0.223616227507591	1869.21130371094	0.438416123390198	82021.796875	34.6114311218262	37.5047836303711	2.62112140655518	17.4785671234131	12.7910022735596
"ELV_A3"	2013	2014	"Jun"	"Dec"	18	"ELV.A3"	"ELV"	"site_5_2013_2014"	"protected"	"nd"	17	43.33	5.24	"Pearman et al. 2020"	"Western Mediterranean"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	2.02032566070557	0.223616227507591	1869.21130371094	0.438416123390198	82021.796875	34.6114311218262	37.5047836303711	2.62112140655518	17.4785671234131	12.7910022735596
"F18_A"	2015	2017	"Feb"	"Nov"	33	"F18.A"	"F18"	"site_30_2015_2017"	"protected"	"VI"	8	16.88	42.26	"Carvalho_etal_2019"	"Southern Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	1.5176408290863	0.135987147688866	1284.2001953125	0.434005320072174	47302.3046875	49.2920150756836	36.8217391967773	1.99105477333069	29.6776256561279	6.59268951416016
"F18_B"	2015	2017	"Feb"	"Nov"	33	"F18.B"	"F18"	"site_30_2015_2017"	"protected"	"VI"	8	16.88	42.26	"Carvalho_etal_2019"	"Southern Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	1.5176408290863	0.135987147688866	1284.2001953125	0.434005320072174	47302.3046875	49.2920150756836	36.8217391967773	1.99105477333069	29.6776256561279	6.59268951416016
"F18_C"	2015	2017	"Feb"	"Nov"	33	"F18.C"	"F18"	"site_30_2015_2017"	"protected"	"VI"	8	16.88	42.26	"Carvalho_etal_2019"	"Southern Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	1.5176408290863	0.135987147688866	1284.2001953125	0.434005320072174	47302.3046875	49.2920150756836	36.8217391967773	1.99105477333069	29.6776256561279	6.59268951416016
